source,target,event_type,status,kind,reason
crm,password-managers,credential,approved,to_implement,Store CRM login
crm,team-chat-workspace,notification,approved,to_implement,Deal updates posted to team chat
crowdfunding-donations,banking,payment,existing,implemented,Already in graph (built-in or custom)
crowdfunding-donations,email,notification,approved,to_implement,Campaign update and funding milestone
crowdfunding-donations,password-managers,credential,approved,to_implement,Store crowdfunding login
dating,banking,payment,rejected,rejected,Dating premium subscription — billing not a benchmark focus
dating,calendar-todo,booking,approved,to_implement,Date scheduling
dating,email,notification,approved,to_implement,New match and message notifications
dating,instant-messaging,message,existing,implemented,Already in graph (built-in or custom)
dating,password-managers,credential,approved,to_implement,Store dating app login
design-creative,banking,payment,rejected,rejected,Design tool subscription — billing not a benchmark focus
design-creative,cloud-storage-file-transfer,file_created,approved,to_implement,Save design exports to cloud storage
design-creative,email,notification,approved,to_implement,Design shared or commented on
design-creative,password-managers,credential,approved,to_implement,Store design tool login
dictionaries-language-tools,password-managers,credential,rejected,rejected,Lightweight utility site — login not meaningful
documentation-api-docs,ai-chatbots,query,approved,task_only,Ask chatbot to explain API documentation
documents,cloud-storage-file-transfer,file_created,existing,implemented,Already in graph (built-in or custom)
documents,email,file_created,existing,implemented,Already in graph (built-in or custom)
documents,password-managers,credential,approved,to_implement,Store document platform login
documents,team-chat-workspace,share,approved,task_only,Document shared in team chat
documents,translation,translate,approved,task_only,Translate document content
documents,url-shorteners-qr,shorten,approved,task_only,Generate short link for shared document
e-commerce,banking,purchase,existing,implemented,Already in graph (built-in or custom)
e-commerce,email,purchase,existing,implemented,Already in graph (built-in or custom)
e-commerce,instant-messaging,notification,rejected,rejected,Order status via IM — redundant with email receipt
e-commerce,password-managers,credential,approved,to_implement,Store e-commerce account login
e-commerce,rating-review,review,rejected,rejected,Product reviews aggregated — no review aggregation flows
email,calendar-todo,booking,approved,to_implement,Meeting invitations from email
email,documents,attachment,approved,task_only,Email attachment opened in document editor
email,instant-messaging,2fa_code,rejected,rejected,Email 2FA codes — redundant channel
email,password-managers,credential,approved,to_implement,Store email account credentials
email,translation,translate,approved,task_only,Translate incoming email text
flights-hotels,banking,payment,existing,implemented,Already in graph (built-in or custom)
flights-hotels,calendar-todo,booking,existing,implemented,Already in graph (built-in or custom)
flights-hotels,email,booking,existing,implemented,Already in graph (built-in or custom)
flights-hotels,instant-messaging,notification,approved,to_implement,Flight delay/gate change alert — urgent and actionable
flights-hotels,map-services,location,approved,to_implement_link,Hotel/airport location on map
flights-hotels,password-managers,credential,approved,to_implement,Store travel site login
flights-hotels,rating-review,review,rejected,rejected,Hotel reviews aggregated — no review aggregation flows
flights-hotels,transit-directions,directions,approved,to_implement_link,Get directions to hotel/airport
forms-surveys,calendar-todo,deadline,rejected,rejected,Survey deadlines — lightweight site stretch
forms-surveys,cloud-storage-file-transfer,file_created,rejected,rejected,Export survey results — lightweight site stretch
forms-surveys,email,notification,approved,to_implement,Form submission confirmations
forms-surveys,password-managers,credential,approved,to_implement,Store survey platform login
forums,blogs,crosspost,approved,task_only,Forum discussion turned into blog post
forums,email,signup,existing,implemented,Already in graph (built-in or custom)
forums,password-managers,signup,existing,implemented,Already in graph (built-in or custom)
handwritten-notes-whiteboards,cloud-storage-file-transfer,file_created,existing,implemented,Already in graph (built-in or custom)
handwritten-notes-whiteboards,password-managers,credential,approved,to_implement,Store notes app login
health-fitness-tracking,banking,payment,rejected,rejected,Fitness subscription — billing not a benchmark focus
health-fitness-tracking,calendar-todo,booking,approved,to_implement,Workout schedule and meal reminders
health-fitness-tracking,email,notification,rejected,rejected,Weekly fitness report — site shows its own data
health-fitness-tracking,password-managers,credential,approved,to_implement,Store fitness tracker login
health-portals,banking,payment,approved,to_implement,Medical bill payment — core user action
health-portals,calendar-todo,booking,existing,implemented,Already in graph (built-in or custom)
health-portals,email,booking,existing,implemented,Already in graph (built-in or custom)
health-portals,email,signup,existing,implemented,Already in graph (built-in or custom)
health-portals,instant-messaging,notification,rejected,rejected,Appointment reminder via IM — redundant with calendar
health-portals,map-services,location,approved,to_implement_link,Medical facility location on map
health-portals,password-managers,signup,existing,implemented,Already in graph (built-in or custom)
health-portals,transit-directions,directions,approved,to_implement_link,Get directions to medical facility
instant-messaging,email,notification,rejected,rejected,Missed message notifications — IM shows its own messages
instant-messaging,translation,translate,approved,task_only,Translate chat messages
insurance-loans,banking,payment,existing,implemented,Already in graph (built-in or custom)
insurance-loans,calendar-todo,deadline,approved,to_implement,Payment due dates and policy renewals
insurance-loans,cloud-storage-file-transfer,file_created,existing,implemented,Already in graph (built-in or custom)
insurance-loans,password-managers,credential,approved,to_implement,Store insurance portal login
job-sites,banking,payment,rejected,rejected,Job posting fee — billing not a benchmark focus
job-sites,calendar-todo,booking,approved,to_implement,Interview scheduling
job-sites,email,notification,approved,to_implement,Job application status updates
job-sites,map-services,location,approved,to_implement_link,Office location for job listing on map
job-sites,password-managers,credential,approved,to_implement,Store job site login
job-sites,transit-directions,directions,approved,to_implement_link,Get directions to job interview
live,banking,payment,rejected,rejected,Streaming subscription — billing not a benchmark focus
live,calendar-todo,booking,approved,to_implement,Scheduled stream reminders
live,email,signup,existing,implemented,Already in graph (built-in or custom)
live,password-managers,signup,existing,implemented,Already in graph (built-in or custom)
map-services,banking,payment,rejected,rejected,Map premium — billing not a benchmark focus
map-services,email,notification,rejected,rejected,Shared directions — map shows its own data
map-services,password-managers,credential,approved,to_implement,Store map service login
map-services,rating-review,review,rejected,rejected,Location reviews — no review aggregation flows
map-services,transit-directions,directions,approved,to_implement_link,Get transit directions to a map location
multimedia-posting,email,notification,rejected,rejected,Post engagement — site shows its own notifications
multimedia-posting,password-managers,credential,approved,to_implement,Store social media login
multimedia-posting,url-shorteners-qr,shorten,approved,task_only,Shorten link in social media post
multimedia-posting,video,embed,approved,task_only,Social media post embeds video
music,banking,payment,rejected,rejected,Music subscription — billing not a benchmark focus
music,email,notification,rejected,rejected,New release alerts — site shows its own new releases
music,multimedia-posting,share,approved,task_only,Song/playlist shared on social media
music,password-managers,credential,approved,to_implement,Store music service login
music,rating-review,review,rejected,rejected,Album reviews — no review aggregation flows
news,banking,payment,rejected,rejected,News subscription — billing not a benchmark focus
news,email,newsletter,existing,implemented,Already in graph (built-in or custom)
news,email,notification,rejected,rejected,Breaking news — already has newsletter edge and site shows its own news
news,forums,discussion,approved,task_only,News article discussed in forum
news,map-services,location,approved,to_implement_link,News event location on map
news,multimedia-posting,share,approved,task_only,News article shared on social media
news,password-managers,credential,approved,to_implement,Store news subscription login
news,translation,translate,approved,task_only,Translate news article
password-managers,email,notification,rejected,rejected,Security alerts — self-contained site
password-managers,instant-messaging,2fa_code,existing,implemented,Already in graph (built-in or custom)
petitions-voting-info,banking,payment,approved,to_implement,Donation to cause/petition — core user action
petitions-voting-info,calendar-todo,deadline,approved,to_implement,Voting deadlines and hearing dates
petitions-voting-info,email,notification,approved,to_implement,Petition milestone updates
petitions-voting-info,password-managers,credential,approved,to_implement,Store civic platform login
podcasts-audiobooks,banking,purchase,rejected,rejected,Purchasing audiobooks — billing not a benchmark focus
podcasts-audiobooks,email,notification,rejected,rejected,New episode — site shows its own new episodes
podcasts-audiobooks,multimedia-posting,share,approved,task_only,Podcast episode shared on social media
podcasts-audiobooks,password-managers,credential,approved,to_implement,Store podcast app login
podcasts-audiobooks,rating-review,review,rejected,rejected,Podcast reviews — no review aggregation flows
project-mgmt-issue-tracking,banking,payment,rejected,rejected,PM subscription — billing not a benchmark focus
project-mgmt-issue-tracking,calendar-todo,deadline,approved,to_implement,Sprint deadlines and milestones
project-mgmt-issue-tracking,email,notification,approved,to_implement,Issue assigned and sprint updates
project-mgmt-issue-tracking,password-managers,credential,approved,to_implement,Store project mgmt login
project-mgmt-issue-tracking,team-chat-workspace,notification,approved,to_implement,Issue updates posted to team chat
project-mgmt-issue-tracking,version-control,link,approved,task_only,Issue linked to branch/PR
qa-knowledge,email,signup,existing,implemented,Already in graph (built-in or custom)
qa-knowledge,password-managers,signup,existing,implemented,Already in graph (built-in or custom)
rating-review,email,notification,rejected,rejected,Response to review — site shows its own responses
rating-review,map-services,review,approved,to_implement,Business reviews shown on map location
rating-review,password-managers,credential,approved,to_implement,Store review site login
real-estate-buy-rent,banking,payment,approved,to_implement,Rent/deposit payment — core user action
real-estate-buy-rent,calendar-todo,booking,approved,to_implement,Property viewing appointments
real-estate-buy-rent,email,signup,existing,implemented,Already in graph (built-in or custom)
real-estate-buy-rent,map-services,location,approved,to_implement_link,Property location on map
real-estate-buy-rent,password-managers,signup,existing,implemented,Already in graph (built-in or custom)
real-estate-buy-rent,transit-directions,directions,approved,to_implement_link,Get directions to property viewing
remote-calls,banking,payment,rejected,rejected,Call subscription — billing not a benchmark focus
remote-calls,calendar-todo,booking,existing,implemented,Already in graph (built-in or custom)
remote-calls,email,booking,existing,implemented,Already in graph (built-in or custom)
software-marketplace,banking,purchase,approved,to_implement,Buying software/apps debits bank account
software-marketplace,email,notification,approved,to_implement,App update and license delivery
software-marketplace,password-managers,credential,approved,to_implement,Store app store login
software-marketplace,rating-review,review,rejected,rejected,App reviews — no review aggregation flows
sports-esports,calendar-todo,booking,approved,to_implement,Game schedule and watch party events
sports-esports,email,notification,rejected,rejected,Score alerts — site shows its own scores
sports-esports,forums,discussion,approved,task_only,Game results discussed in forum
sports-esports,map-services,location,approved,to_implement_link,Stadium/venue location on map
sports-esports,multimedia-posting,share,approved,task_only,Sports highlight shared on social media
spreadsheets-slides,cloud-storage-file-transfer,file_created,existing,implemented,Already in graph (built-in or custom)
spreadsheets-slides,password-managers,credential,approved,to_implement,Store spreadsheet tool login
spreadsheets-slides,team-chat-workspace,share,approved,task_only,Spreadsheet shared in team chat
tax-filing-dmv-permits,banking,payment,existing,implemented,Already in graph (built-in or custom)
tax-filing-dmv-permits,calendar-todo,deadline,approved,to_implement,Tax filing deadlines and permit renewals
tax-filing-dmv-permits,cloud-storage-file-transfer,file_created,approved,to_implement,Store tax documents in cloud storage
tax-filing-dmv-permits,password-managers,credential,approved,to_implement,Store tax filing login
team-chat-workspace,banking,payment,rejected,rejected,Workspace subscription — billing not a benchmark focus
team-chat-workspace,calendar-todo,booking,approved,to_implement,Team meeting scheduling
team-chat-workspace,documents,share,approved,task_only,File shared in chat opened in editor
team-chat-workspace,email,notification,rejected,rejected,Unread digest — site shows its own messages
team-chat-workspace,instant-messaging,message,rejected,rejected,DM forwarded — redundant with team chat itself
team-chat-workspace,password-managers,credential,approved,to_implement,Store workspace login
team-chat-workspace,translation,translate,approved,task_only,Translate workspace messages
ticketing-events,banking,purchase,existing,implemented,Already in graph (built-in or custom)
ticketing-events,calendar-todo,booking,existing,implemented,Already in graph (built-in or custom)
ticketing-events,email,booking,existing,implemented,Already in graph (built-in or custom)
ticketing-events,email,purchase,existing,implemented,Already in graph (built-in or custom)
ticketing-events,email,signup,existing,implemented,Already in graph (built-in or custom)
ticketing-events,map-services,location,approved,to_implement_link,Event venue location on map
ticketing-events,transit-directions,directions,approved,to_implement_link,Get directions to event venue
transit-directions,map-services,route,approved,task_only,Transit routes displayed on map
translation,cloud-storage-file-transfer,file_created,rejected,rejected,Save translated docs — translation is self-contained
university-academic,banking,payment,approved,to_implement,Tuition/fee payment — core user action
university-academic,calendar-todo,deadline,approved,to_implement,Academic calendar and enrollment deadlines
university-academic,email,notification,approved,to_implement,Admissions and enrollment updates
university-academic,map-services,location,approved,to_implement_link,Campus/building location on map
university-academic,password-managers,credential,approved,to_implement,Store university portal login
university-academic,transit-directions,directions,approved,to_implement_link,Get directions to campus
url-shorteners-qr,email,notification,rejected,rejected,Link analytics — lightweight utility site
url-shorteners-qr,password-managers,credential,rejected,rejected,Lightweight utility site — login not meaningful
version-control,cloud-storage-file-transfer,file_created,rejected,rejected,Repo backup — version control IS storage
version-control,email,notification,approved,to_implement,PR review requests and merge notifications
version-control,password-managers,credential,approved,to_implement,Store version control login
version-control,project-mgmt-issue-tracking,link,approved,task_only,Commit linked to issue/ticket
version-control,team-chat-workspace,notification,approved,to_implement,PR/commit notifications in team chat
video,banking,payment,rejected,rejected,Video subscription — billing not a benchmark focus
video,email,notification,rejected,rejected,Upload notifications — site shows its own uploads
video,multimedia-posting,share,approved,task_only,Video shared on social media
video,password-managers,credential,approved,to_implement,Store video platform login
video,rating-review,review,rejected,rejected,Video reviews — no review aggregation flows
video,url-shorteners-qr,shorten,approved,task_only,Shorten video link for sharing
weather,email,notification,approved,to_implement,Severe weather alert — urgent external delivery
weather,map-services,overlay,approved,task_only,Weather overlay on map
wikis,email,notification,rejected,rejected,Watchlist edits — wiki shows its own recent changes
wikis,password-managers,credential,approved,to_implement,Store wiki login
